id,book_id,price,retrieved_at
1,1,400.0,2025-04-07
2,2,500.0,2025-04-07
3,3,400.0,2025-04-07
4,4,490.0,2025-04-07
5,5,299.0,2025-04-07
6,6,499.0,2025-04-07
7,7,599.0,2025-04-07
8,8,499.0,2025-04-07
9,9,499.0,2025-04-07
10,10,549.0,2025-04-07
11,11,499.0,2025-04-07
12,12,199.0,2025-04-07
13,13,399.0,2025-04-07
14,14,599.0,2025-04-07
15,15,550.0,2025-04-07
16,16,220.0,2025-04-07
17,17,300.0,2025-04-07
18,18,300.0,2025-04-07
19,19,500.0,2025-04-07
20,20,350.0,2025-04-07
21,21,300.0,2025-04-07
22,22,300.0,2025-04-07
23,23,200.0,2025-04-07
24,24,499.0,2025-04-07
25,25,799.0,2025-04-07
26,26,799.0,2025-04-07
27,27,799.0,2025-04-07
28,28,899.0,2025-04-07
29,29,799.0,2025-04-07
30,30,699.0,2025-04-07
31,31,699.0,2025-04-07
32,32,699.0,2025-04-07
33,33,599.0,2025-04-07
34,34,3.999,2025-04-07
35,35,3.799,2025-04-07
36,36,799.0,2025-04-07
37,37,799.0,2025-04-07
38,38,599.0,2025-04-07
39,39,699.0,2025-04-07
40,40,699.0,2025-04-07
41,41,699.0,2025-04-07
42,42,599.0,2025-04-07
43,43,599.0,2025-04-07
44,44,599.0,2025-04-07
45,45,799.0,2025-04-07
46,46,699.0,2025-04-07
47,47,1.499,2025-04-07
48,48,1.199,2025-04-07
49,49,1.299,2025-04-07
50,50,1.299,2025-04-07
51,51,1.499,2025-04-07
52,52,1.899,2025-04-07
53,53,899.0,2025-04-07
54,54,1.299,2025-04-07
55,55,1.299,2025-04-07
56,56,1.299,2025-04-07
57,57,1.499,2025-04-07
58,58,1.499,2025-04-07
59,59,1.299,2025-04-07
60,60,1.499,2025-04-07
61,61,1.299,2025-04-07
62,62,1.299,2025-04-07
63,63,1.899,2025-04-07
64,64,1.299,2025-04-07
65,65,1.299,2025-04-07
66,66,1.299,2025-04-07
67,67,1.399,2025-04-07
68,68,1.499,2025-04-07
69,69,1.299,2025-04-07
70,70,1.699,2025-04-07
71,71,1.199,2025-04-07
72,72,1.299,2025-04-07
73,73,1.299,2025-04-07
74,74,1.299,2025-04-07
75,75,599.0,2025-04-07
76,76,3.899,2025-04-07
77,77,3.899,2025-04-07
78,78,3.899,2025-04-07
79,79,799.0,2025-04-07
80,80,699.0,2025-04-07
81,81,599.0,2025-04-07
82,82,699.0,2025-04-07
83,83,499.0,2025-04-07
84,84,699.0,2025-04-07
85,85,799.0,2025-04-07
86,86,699.0,2025-04-07
87,87,699.0,2025-04-07
88,88,799.0,2025-04-07
89,89,7.399,2025-04-07
90,90,999.0,2025-04-07
91,91,799.0,2025-04-07
92,92,1.299,2025-04-07
93,93,999.0,2025-04-07
94,94,3.899,2025-04-07
95,95,3.899,2025-04-07
96,96,1.799,2025-04-07
97,97,999.0,2025-04-07
98,98,999.0,2025-04-07
99,99,999.0,2025-04-07
100,100,1.299,2025-04-07
101,101,799.0,2025-04-07
102,102,2.999,2025-04-07
103,103,599.0,2025-04-07
104,104,1.499,2025-04-07
105,105,799.0,2025-04-07
106,106,3.899,2025-04-07
107,107,1.499,2025-04-07
108,108,4.799,2025-04-07
109,109,1.499,2025-04-07
110,110,1.299,2025-04-07
111,111,1.199,2025-04-07
112,112,599.0,2025-04-07
113,113,1.899,2025-04-07
114,114,799.0,2025-04-07
115,115,699.0,2025-04-07
116,116,3.899,2025-04-07
117,117,799.0,2025-04-07
118,118,699.0,2025-04-07
119,119,3.899,2025-04-07
120,120,699.0,2025-04-07
121,121,3.899,2025-04-07
122,122,799.0,2025-04-07
123,123,899.0,2025-04-07
124,124,999.0,2025-04-07
125,125,799.0,2025-04-07
126,126,999.0,2025-04-07
127,127,799.0,2025-04-07
128,128,699.0,2025-04-07
129,129,1.599,2025-04-07
130,130,2.799,2025-04-07
131,131,499.0,2025-04-07
132,132,699.0,2025-04-07
133,133,999.0,2025-04-07
134,134,1.199,2025-04-07
135,135,1.199,2025-04-07
136,136,1.199,2025-04-07
137,137,699.0,2025-04-07
138,138,699.0,2025-04-07
139,139,699.0,2025-04-07
140,140,799.0,2025-04-07
141,141,799.0,2025-04-07
142,142,699.0,2025-04-07
143,143,799.0,2025-04-07
144,144,799.0,2025-04-07
145,145,799.0,2025-04-07
146,146,799.0,2025-04-07
147,147,799.0,2025-04-07
148,148,799.0,2025-04-07
149,149,799.0,2025-04-07
150,150,799.0,2025-04-07
151,151,799.0,2025-04-07
152,152,799.0,2025-04-07
153,153,799.0,2025-04-07
154,154,799.0,2025-04-07
155,155,599.0,2025-04-07
156,156,799.0,2025-04-07
157,157,799.0,2025-04-07
158,158,899.0,2025-04-07
159,159,799.0,2025-04-07
160,160,799.0,2025-04-07
161,161,799.0,2025-04-07
162,162,699.0,2025-04-07
163,163,599.0,2025-04-07
164,164,599.0,2025-04-07
165,165,999.0,2025-04-07
166,166,799.0,2025-04-07
167,167,699.0,2025-04-07
168,168,799.0,2025-04-07
169,169,599.0,2025-04-07
170,170,899.0,2025-04-07
171,171,499.0,2025-04-07
172,172,1.099,2025-04-07
173,173,599.0,2025-04-07
174,174,799.0,2025-04-07
175,175,1.199,2025-04-07
176,176,1.199,2025-04-07
177,177,699.0,2025-04-07
178,178,799.0,2025-04-07
179,179,1.099,2025-04-07
180,180,599.0,2025-04-07
181,181,699.0,2025-04-07
182,182,699.0,2025-04-07
183,183,599.0,2025-04-07
184,184,999.0,2025-04-07
185,185,999.0,2025-04-07
186,186,799.0,2025-04-07
187,187,1.099,2025-04-07
188,188,1.299,2025-04-07
189,189,899.0,2025-04-07
190,190,13.399,2025-04-07
191,191,999.0,2025-04-07
192,192,1.199,2025-04-07
193,193,599.0,2025-04-07
194,194,599.0,2025-04-07
195,195,599.0,2025-04-07
196,196,599.0,2025-04-07
197,197,799.0,2025-04-07
198,198,599.0,2025-04-07
199,199,599.0,2025-04-07
200,200,599.0,2025-04-07
201,201,1.099,2025-04-07
202,202,199.0,2025-04-07
203,203,899.0,2025-04-07
204,204,300.0,2025-04-07
205,205,2.899,2025-04-07
206,206,4.299,2025-04-07
207,207,2.199,2025-04-07
208,208,4.199,2025-04-07
209,209,599.0,2025-04-07
210,210,599.0,2025-04-07
211,211,599.0,2025-04-07
212,212,599.0,2025-04-07
213,213,599.0,2025-04-07
214,214,599.0,2025-04-07
215,215,599.0,2025-04-07
216,216,199.0,2025-04-07
217,217,1.099,2025-04-07
218,218,2.599,2025-04-07
219,219,999.0,2025-04-07
220,220,1.499,2025-04-07
221,221,1.499,2025-04-07
222,222,599.0,2025-04-07
223,223,599.0,2025-04-07
224,224,799.0,2025-04-07
225,225,599.0,2025-04-07
226,226,3.599,2025-04-07
227,227,2.999,2025-04-07
228,228,899.0,2025-04-07
229,229,899.0,2025-04-07
230,230,1.199,2025-04-07
231,231,699.0,2025-04-07
232,232,599.0,2025-04-07
233,233,699.0,2025-04-07
234,234,3.599,2025-04-07
235,235,4.699,2025-04-07
236,236,599.0,2025-04-07
237,237,599.0,2025-04-07
238,238,499.0,2025-04-07
239,239,480.0,2025-04-07
240,240,120.0,2025-04-07
241,241,300.0,2025-04-07
242,242,280.0,2025-04-07
243,243,300.0,2025-04-07
244,244,350.0,2025-04-07
245,245,500.0,2025-04-07
246,246,390.0,2025-04-07
247,247,350.0,2025-04-07
248,248,300.0,2025-04-07
249,249,690.0,2025-04-07
250,250,850.0,2025-04-07
251,251,5.999,2025-04-07
252,252,3.199,2025-04-07
253,253,5.999,2025-04-07
254,254,4.299,2025-04-07
255,255,1.599,2025-04-07
256,256,1.899,2025-04-07
257,257,1.799,2025-04-07
258,258,2.199,2025-04-07
259,259,799.0,2025-04-07
260,260,799.0,2025-04-07
261,261,799.0,2025-04-07
262,262,799.0,2025-04-07
263,263,799.0,2025-04-07
264,264,799.0,2025-04-07
265,265,2.199,2025-04-07
266,266,2.199,2025-04-07
267,267,1.499,2025-04-07
268,268,3.299,2025-04-07
269,269,699.0,2025-04-07
270,270,799.0,2025-04-07
271,271,1.199,2025-04-07
272,272,899.0,2025-04-07
273,273,1.499,2025-04-07
274,274,799.0,2025-04-07
275,275,899.0,2025-04-07
276,276,1.199,2025-04-07
277,277,699.0,2025-04-07
278,278,799.0,2025-04-07
279,279,799.0,2025-04-07
280,280,799.0,2025-04-07
281,281,1.299,2025-04-07
282,282,799.0,2025-04-07
283,283,1.899,2025-04-07
284,284,2.599,2025-04-07
285,285,799.0,2025-04-07
286,286,1.899,2025-04-07
287,287,699.0,2025-04-07
288,288,1.199,2025-04-07
289,289,799.0,2025-04-07
290,290,799.0,2025-04-07
291,291,799.0,2025-04-07
292,292,1.199,2025-04-07
293,293,799.0,2025-04-07
294,294,1.099,2025-04-07
295,295,1.299,2025-04-07
296,296,1.299,2025-04-07
297,297,799.0,2025-04-07
298,298,799.0,2025-04-07
299,299,1.499,2025-04-07
300,300,699.0,2025-04-07
301,301,799.0,2025-04-07
302,302,799.0,2025-04-07
303,303,599.0,2025-04-07
304,304,799.0,2025-04-07
305,305,799.0,2025-04-07
306,306,599.0,2025-04-07
307,307,1.499,2025-04-07
308,308,1.899,2025-04-07
309,309,799.0,2025-04-07
310,310,799.0,2025-04-07
311,311,799.0,2025-04-07
312,312,699.0,2025-04-07
313,313,1.499,2025-04-07
314,314,1.499,2025-04-07
315,315,799.0,2025-04-07
316,316,799.0,2025-04-07
317,317,1.199,2025-04-07
318,318,1.199,2025-04-07
319,319,899.0,2025-04-07
320,320,799.0,2025-04-07
321,321,899.0,2025-04-07
322,322,799.0,2025-04-07
323,323,799.0,2025-04-07
324,324,599.0,2025-04-07
325,325,2.399,2025-04-07
326,326,799.0,2025-04-07
327,327,799.0,2025-04-07
328,328,799.0,2025-04-07
329,329,799.0,2025-04-07
330,330,799.0,2025-04-07
331,331,799.0,2025-04-07
332,332,799.0,2025-04-07
333,333,799.0,2025-04-07
334,334,799.0,2025-04-07
335,335,799.0,2025-04-07
336,336,699.0,2025-04-07
337,337,799.0,2025-04-07
338,338,699.0,2025-04-07
339,339,599.0,2025-04-07
340,340,599.0,2025-04-07
341,341,2.099,2025-04-07
342,342,799.0,2025-04-07
343,343,799.0,2025-04-07
344,344,999.0,2025-04-07
345,345,799.0,2025-04-07
346,346,699.0,2025-04-07
347,347,799.0,2025-04-07
348,348,799.0,2025-04-07
349,349,799.0,2025-04-07
350,350,599.0,2025-04-07
351,351,799.0,2025-04-07
352,352,799.0,2025-04-07
353,353,1.199,2025-04-07
354,354,2.099,2025-04-07
355,355,2.399,2025-04-07
356,356,1.299,2025-04-07
357,357,1.499,2025-04-07
358,358,1.199,2025-04-07
